,Price,6M_Return(%),12M_ex1_Return(%),Volatility(%),MomentumScore,Above_200DMA,Positive_6M,Positive_12M_ex1,SMA_200
360ONE.NS,656.2587280273438,35.32752929603183,63.62610077148536,33.41303460807368,1.5649887209424345,True,True,True,494.3898928833008
3MINDIA.NS,34201.07421875,21.726171152865724,39.60775104336993,35.618700117851844,0.9109262751605843,True,True,True,28315.96837890625
ABB.NS,4691.88623046875,4.956422636635827,71.0678658388392,28.198953925958705,1.5818838470608507,True,True,True,4143.7150366210935
ACC.NS,2304.4951171875,29.656629183294903,-7.970184206167041,27.47680912909405,0.2575977850453065,True,True,False,1904.7323455810547
AIAENG.NS,3695.88818359375,11.898189100215095,40.1923885622153,23.87817343777964,1.2087449403623831,True,True,True,3334.9614721679686
APLAPOLLO.NS,1543.26513671875,18.958806003405492,45.66552333980205,32.03013204136808,1.0918443269857916,True,True,True,1444.9735974121095
AUBANK.NS,769.881591796875,0.30059787990350806,19.635441873003945,22.9259153466166,0.5189025201699405,True,True,True,720.7248037719727
AWL.NS,367.6000061035156,-8.466135329499036,-35.525746158624194,34.959936688201495,-0.7063753659956812,False,False,False,377.7387498474121
AARTIIND.NS,609.6387939453125,34.830222729296636,-4.865009665350017,31.35331370589564,0.35114539859474153,True,True,False,513.1559239196778
AAVAS.NS,1613.0,4.135062516362598,-10.374499574465146,25.339700431829908,-0.18030488172534617,True,True,False,1544.322993774414
ABBOTINDIA.NS,25482.3515625,12.081041508671508,3.6695172516359564,19.12869748636928,0.3675342566786446,True,True,True,22179.394912109376
ACE.NS,900.3994140625,47.52282671457111,157.8657519717337,40.019386263044716,2.8411272938716854,True,True,True,650.9260821533203
ADANIENT.NS,3086.67626953125,29.381464135067304,-24.395633059484013,39.498907587623364,-0.0730162982933798,True,True,False,2384.513723754883
ADANIGREEN.NS,1694.800048828125,77.54963810189773,-18.908599525369617,55.52806051645975,0.354256078490648,True,True,False,1051.4922525024415
ADANIPORTS.NS,1192.1600341796875,67.24496092821173,32.006447578621014,35.63176503156507,1.2934783919266784,True,True,True,794.9655798339844
ADANIPOWER.NS,541.1500244140625,124.68341735539754,83.18615141369048,52.10128759653446,1.914845370218971,True,True,True,328.58775024414064
ATGL.NS,1057.826904296875,66.50935574384702,-71.05001742281082,63.322749784854715,-0.25304867087865146,True,True,False,738.9741094970703
ABCAPITAL.NS,179.14999389648438,-4.934997719481027,11.16309910889084,26.858880050728,0.17581158457753068,True,False,True,174.69324989318847
ABFRL.NS,230.85000610351562,8.00000285544591,-18.04040695488691,32.30366024756063,-0.23594489056154946,True,True,False,217.36175033569336
ABREL.NS,1445.039306640625,64.03762382054883,73.86945170249253,41.40006481214246,1.6888821803825786,True,True,True,994.62029296875
ABSLAMC.NS,476.0889892578125,33.50059183426175,5.446991383087485,20.71940453387825,0.8040960142543325,True,True,True,383.7191746520996
AFFLE.NS,1304.199951171875,23.357763175396084,16.11378742390912,26.28986556801155,0.7228697681111872,True,True,True,1064.6827496337892
AJANTPHARM.NS,2206.130126953125,59.09945673689474,58.64838754614181,30.64397325444946,1.9191252870915816,True,True,True,1600.194049682617
APLLTD.NS,922.7702026367188,45.15653372887496,34.42002525948955,31.72678937756981,1.2198659475808709,True,True,True,671.9343348693848
ALKEM.NS,4952.65478515625,43.087144309552386,60.72352644200429,25.381243669706517,2.1136803808099507,True,True,True,3781.07630859375
ALKYLAMINE.NS,2416.384765625,-1.4743343814188403,-16.619446455478272,31.054855228048574,-0.33997910334114706,True,False,False,2370.4589855957033
ALOKINDS.NS,34.04999923706055,112.81249523162842,46.601941088357826,67.04605331124682,1.0899263994322768,True,True,True,17.647750034332276
AMBER.NS,3750.10009765625,68.09808874510466,61.812137568587076,40.12251029920746,1.6028530874248457,True,True,True,2597.839246826172
